depth,qc,fs,u2,qt,Bq,Ic,t,u2,t,u2,t,u2,t,u2,t,u2,t,u2
3.94,1.71,0.02051,-0.02766,1.64,-0.042675636,2.487889106,,,,,,,,,,,,
3.95,1.72,0.02238,-0.031,1.72,-0.042696123,2.479080836,,,,,,,,,,,,
3.96,1.74,0.024,-0.02146,1.72,-0.036921409,2.496578573,,,,,,,,,,,,
3.97,1.75,0.02765,-0.01707,1.74,-0.033883577,2.524654225,,,,,,,,,,,,
3.98,1.73,0.02949,-0.0062,1.75,-0.027206829,2.537858155,,,,,,,,,,,,
3.99,1.72,0.03171,-0.00181,1.73,-0.02492913,2.564324745,,,,,,,,,,,,
4,1.68,0.03204,0.00658,1.72,-0.020006028,2.571426076,,,,,,,,,,,,
4.01,1.67,0.03213,0.01106,1.68,-0.017759466,2.587949557,,,,,,,,,,,,
4.02,1.61,0.03062,0.01583,1.67,-0.014921188,2.580259105,,,,,,,,,,,,
4.03,1.56,0.0289,0.02461,1.61,-0.009806775,2.589840351,,,,,,,,,,,,
4.04,1.5,0.02325,0.02804,1.56,-0.007877332,2.557216799,,,,,,,,,,,,
4.05,1.39,0.02115,0.03586,1.5,-0.002742322,2.560399374,,,,,,,,,,,,
4.06,1.35,0.01925,0.04044,1.4,0.000466299,2.583145232,,,,,,,,,,,,
4.07,1.28,0.01857,0.04855,1.36,0.006784873,2.594107228,,,,,,,,,,,,
4.08,1.27,0.01873,0.05017,1.29,0.008449108,2.630814709,,,,,,,,,,,,
4.09,1.31,0.01925,0.04121,1.28,0.000913127,2.642999119,,,,,,,,,,,,
4.1,1.35,0.0198,0.02404,1.32,-0.013152013,2.630542343,,,,,,,,,,,,
4.11,1.43,0.0209,-0.00944,1.36,-0.03917771,2.624866241,,,,,,,,,,,,
4.12,1.45,0.02125,-0.01116,1.44,-0.038209081,2.592841391,,,,,,,,,,,,
4.13,1.45,0.02199,-0.00811,1.45,-0.03576316,2.597302756,,,,,,,,,,,,
4.14,1.41,0.0228,0.00677,1.45,-0.024895333,2.60672421,,,,,,,,,,,,
4.15,1.35,0.0239,0.01488,1.4,-0.019730648,2.641466305,,,,,,,,,,,,
4.16,1.22,0.0239,0.02814,1.35,-0.010063334,2.665705173,,,,,,,,,,,,
4.17,1.15,0.0229,0.03501,1.22,-0.005224906,2.721781254,,,,,,,,,,,,
4.18,1.05,0.02232,0.05132,1.16,0.009652542,2.749235656,,,,,,,,,,,,
4.19,1.01,0.02057,0.06896,1.06,0.028767164,2.789449971,,,,,,,,,,,,
4.2,0.93,0.01899,0.07917,1.01,0.041354389,2.802986064,,,,,,,,,,,,
4.21,0.87,0.01624,0.11513,0.94,0.087074007,2.814612328,,,,,,,,,,,,
4.22,0.87,0.01612,0.11608,0.89,0.093623303,2.850088262,,,,,,,,,,,,
4.23,0.95,0.01767,0.09844,0.89,0.071405584,2.872407712,,,,,,,,,,,,
4.24,1.04,0.01899,0.08232,0.97,0.046424069,2.832827252,,,,,,,,,,,,
4.25,1.28,0.02077,0.03682,1.07,-0.004987033,2.790091887,,,,,,,,,,,,
4.26,1.4,0.02144,0.01002,1.3,-0.026325996,2.671201272,,,,,,,,,,,,
4.27,1.53,0.02186,-0.00811,1.41,-0.037975761,2.624095819,,,,,,,,,,,,
4.28,1.56,0.02299,-0.00286,1.54,-0.031006354,2.580216238,,,,,,,,,,,,
4.29,1.55,0.02299,0.00992,1.56,-0.021938284,2.572680425,,,,,,,,,,,,
4.3,1.51,0.02299,0.01278,1.54,-0.020334963,2.581670171,,,,,,,,,,,,
4.31,1.44,0.03058,0.02222,1.51,-0.01417035,2.665337515,,,,,,,,,,,,
4.32,1.4,0.03136,0.02766,1.44,-0.010939693,2.703217084,,,,,,,,,,,,
4.33,1.32,0.03094,0.03758,1.4,-0.003751967,2.718816272,,,,,,,,,,,,
4.34,1.27,0.02871,0.04283,1.32,0.00020783,2.738927867,,,,,,,,,,,,
4.35,1.17,0.02671,0.04931,1.27,0.00564896,2.746784842,,,,,,,,,,,,
4.36,1.14,0.02238,0.05237,1.18,0.008849725,2.752182097,,,,,,,,,,,,
4.37,1.11,0.02138,0.06095,1.15,0.017147801,2.758788975,,,,,,,,,,,,
4.38,1.1,0.02144,0.0703,1.12,0.026687392,2.777587536,,,,,,,,,,,,
4.39,1.06,0.02232,0.08489,1.11,0.041248984,2.793974699,,,,,,,,,,,,
4.4,1.06,0.02487,0.1034,1.08,0.06123272,2.839423255,,,,,,,,,,,,
4.41,1.08,0.02606,0.1034,1.08,0.061146712,2.851818739,,,,,,,,,,,,
4.42,1.15,0.02761,0.1034,1.1,0.05984349,2.854895885,,,,,,,,,,,,
4.43,1.15,0.02816,-0.02375,1.18,-0.062054173,2.814131908,,,,,,,,,,,,
4.44,1.15,0.02942,-0.02203,1.18,-0.060569092,2.825953818,,,,,,,,,,,,
4.45,1.65,0.03023,-0.01717,1.18,-0.056183028,2.833608297,,,,,,,,,,,,
4.46,1.67,0.0312,-0.00639,1.64,-0.032509696,2.627669182,,,,,,,,,,,,
4.47,1.66,0.02968,0.00105,1.67,-0.027224046,2.60418364,,,,,,,,,,,,
4.48,1.61,0.02422,0.01507,1.66,-0.018489013,2.559032504,,,,,,,,,,,,
4.49,1.58,0.02293,0.0185,1.61,-0.016899193,2.566261956,,,,,,,,,,,,
4.5,1.5,0.02212,0.02919,1.58,-0.010094479,2.570507354,,,,,,,,,,,,
4.51,1.49,0.02083,0.03214,1.5,-0.008637153,2.590432285,,,,,,,,,,,,
4.52,1.55,0.02044,0.02528,1.49,-0.0137026,2.591027372,,,,,,,,,,,,
4.53,1.61,0.02006,0.01173,1.55,-0.022544993,2.562088395,,,,,,,,,,,,
4.54,1.74,0.02054,-0.01879,1.62,-0.041645613,2.540034366,,,,,,,,,,,,
4.55,1.8,0.02109,-0.031,1.74,-0.046107796,2.501353589,,,,,,,,,,,,
4.56,1.84,0.02251,-0.03081,1.8,-0.044432577,2.495649378,,,,,,,,,,,,
4.57,1.87,0.02332,-0.02547,1.84,-0.040404122,2.490669643,,,,,,,,,,,,
4.58,1.87,0.0248,-0.0185,1.86,-0.036044955,2.499042541,,,,,,,,,,,,
4.59,1.86,0.02535,-0.01297,1.86,-0.032962361,2.504962836,,,,,,,,,,,,
4.6,1.88,0.02613,-0.00277,1.85,-0.027380154,2.516350675,,,,,,,,,,,,
4.61,1.88,0.02648,0.00076,1.87,-0.02513412,2.513396257,,,,,,,,,,,,
4.62,1.86,0.02742,0.00172,1.88,-0.024511455,2.519124753,,,,,,,,,,,,
4.63,1.86,0.02823,0.00763,1.86,-0.021488534,2.533720679,,,,,,,,,,,,
4.64,1.84,0.02897,0.01135,1.86,-0.019431503,2.540744923,,,,,,,,,,,,
4.65,1.79,0.03039,0.01765,1.85,-0.015997514,2.55668699,,,,,,,,,,,,
4.66,1.76,0.03091,0.02308,1.79,-0.013409494,2.58271129,,,,,,,,,,,,
4.67,1.7,0.03226,0.02575,1.76,-0.012102526,2.604958523,,,,,,,,,,,,
4.68,1.64,0.03272,0.03167,1.7,-0.008914411,2.631546422,,,,,,,,,,,,
4.69,1.59,0.03278,0.03567,1.64,-0.006725457,2.655895568,,,,,,,,,,,,
4.7,1.49,0.03171,0.04416,1.59,-0.0013093,2.668231196,,,,,,,,,,,,
4.71,1.44,0.03036,0.04807,1.49,0.001344721,2.700134723,,,,,,,,,,,,
4.72,1.39,0.02713,0.05809,1.45,0.008752955,2.690566743,,,,,,,,,,,,
4.73,1.37,0.02593,0.06524,1.4,0.0145317,2.703005271,,,,,,,,,,,,
4.74,1.36,0.024,0.07793,1.38,0.02462893,2.694300438,,,,,,,,,,,,
4.75,1.36,0.02358,0.07488,1.37,0.02234101,2.695481918,,,,,,,,,,,,
4.76,1.41,0.0229,0.06601,1.37,0.01525955,2.689166818,,,,,,,,,,,,
4.77,1.46,0.02248,0.0434,1.43,-0.002560307,2.657607153,,,,,,,,,,,,
4.78,1.51,0.02206,0.0309,1.47,-0.011713155,2.6359794,,,,,,,,,,,,
4.79,1.6,0.02196,-0.00124,1.53,-0.03384399,2.609779397,,,,,,,,,,,,
4.8,1.63,0.02254,-0.0104,1.61,-0.038201944,2.58379407,,,,,,,,,,,,
4.81,1.67,0.02303,-0.00706,1.63,-0.035579984,2.581597274,,,,,,,,,,,,
4.82,1.68,0.02451,0.00267,1.67,-0.028518365,2.581454398,,,,,,,,,,,,
4.83,1.69,0.02538,0.00572,1.68,-0.026466026,2.586625128,,,,,,,,,,,,
4.84,1.71,0.02674,0.0124,1.69,-0.022147308,2.596058324,,,,,,,,,,,,
4.85,1.73,0.02761,0.01669,1.71,-0.019260355,2.596937765,,,,,,,,,,,,
4.86,1.77,0.02865,0.02566,1.73,-0.013561102,2.599160887,,,,,,,,,,,,
4.87,1.79,0.03129,0.02976,1.77,-0.010830786,2.606896694,,,,,,,,,,,,
4.88,1.81,0.03262,0.03281,1.79,-0.008949644,2.610731324,,,,,,,,,,,,
4.89,1.8,0.03436,0.03634,1.81,-0.006830313,2.617331565,,,,,,,,,,,,
4.9,1.79,0.03481,0.0433,1.81,-0.002800995,2.621290635,,,,,,,,,,,,
4.91,1.76,0.03559,0.04626,1.8,-0.001126872,2.631156426,,,,,,,,,,,,
4.92,1.73,0.03536,0.05284,1.77,0.002752327,2.641014368,,,,,,,,,,,,
4.93,1.71,0.03481,0.05713,1.74,0.005371978,2.648734224,,,,,,,,,,,,
4.94,1.63,0.03491,0.06686,1.71,0.011486879,2.66137541,,,,,,,,,,,,
4.95,1.56,0.03481,0.06849,1.64,0.013013881,2.688408259,,,,,,,,,,,,
4.96,1.41,0.03394,0.07516,1.57,0.018136739,2.71100457,,,,,,,,,,,,
4.97,1.34,0.03123,0.08069,1.42,0.024358154,2.756264988,,,,,,,,,,,,
4.98,1.19,0.02987,0.08585,1.35,0.029816214,2.778984306,,,,,,,,,,,,
4.99,1.13,0.0279,0.095,1.2,0.042223253,2.84058907,,,,,,,,,,,,
5,1.09,0.02687,0.09538,1.14,0.044964646,2.866147427,,,,,,,,,,,,
5.01,1.03,0.0238,0.10359,1.1,0.054983744,2.86095607,,,,,,,,,,,,
5.02,1.02,0.02151,0.09786,1.05,0.051720823,2.868467004,,,,,,,,,,,,
5.03,1.1,0.02096,0.07984,1.04,0.032801338,2.869411419,,,,,,,,,,,,
5.04,1.18,0.02144,0.06868,1.12,0.019056742,2.825851128,,,,,,,,,,,,
5.05,1.37,0.02161,0.02623,1.2,-0.021400081,2.78256278,,,,,,,,,,,,
5.06,1.45,0.02245,0.01145,1.38,-0.030092233,2.700369703,,,,,,,,,,,,
5.07,1.58,0.02306,-0.01354,1.47,-0.046567003,2.66620521,,,,,,,,,,,,
5.08,1.63,0.02406,-0.00858,1.58,-0.039775568,2.630134511,,,,,,,,,,,,
5.09,1.7,0.02454,0.00048,1.63,-0.032569331,2.61534875,,,,,,,,,,,,
5.1,1.72,0.02509,0.00172,1.69,-0.030612104,2.597964775,,,,,,,,,,,,
5.11,1.77,0.02529,0.00496,1.72,-0.028091205,2.589177666,,,,,,,,,,,,
5.12,1.8,0.02545,0.0104,1.77,-0.024025255,2.572912693,,,,,,,,,,,,
5.13,1.88,0.02529,0.02327,1.8,-0.016032771,2.561282254,,,,,,,,,,,,
5.14,1.91,0.02506,0.02499,1.88,-0.014391287,2.531948421,,,,,,,,,,,,
5.15,1.98,0.02425,0.02776,1.92,-0.012595904,2.511464024,,,,,,,,,,,,
5.16,2.01,0.02393,0.031,1.98,-0.01050956,2.489438218,,,,,,,,,,,,
5.17,2.09,0.0239,0.03434,2.02,-0.008589951,2.477084901,,,,,,,,,,,,
5.18,2.17,0.02409,0.03634,2.1,-0.007287494,2.454935894,,,,,,,,,,,,
5.19,2.2,0.02435,0.03701,2.17,-0.006762049,2.437309768,,,,,,,,,,,,
5.2,2.27,0.02438,0.03701,2.2,-0.006712548,2.429552917,,,,,,,,,,,,
5.21,2.3,0.0248,0.0372,2.28,-0.006422849,2.411589265,,,,,,,,,,,,
5.22,2.35,0.02477,0.03958,2.31,-0.005296383,2.403704113,,,,,,,,,,,,
5.23,2.38,0.02484,0.04016,2.36,-0.004964336,2.391504726,,,,,,,,,,,,
5.24,2.38,0.02538,0.04101,2.39,-0.004568863,2.389132379,,,,,,,,,,,,
5.25,2.36,0.02597,0.04407,2.39,-0.00326728,2.39506521,,,,,,,,,,,,
5.26,2.35,0.02768,0.04512,2.37,-0.002874385,2.41587496,,,,,,,,,,,,
5.27,2.29,0.02861,0.04693,2.36,-0.00212473,2.426975247,,,,,,,,,,,,
5.28,2.26,0.02987,0.04769,2.3,-0.00188027,2.454178609,,,,,,,,,,,,
5.29,2.21,0.02987,0.04702,2.27,-0.00226326,2.463125706,,,,,,,,,,,,
5.3,2.19,0.02987,0.04626,2.22,-0.002725194,2.477887968,,,,,,,,,,,,
5.31,2.17,0.03417,0.04454,2.2,-0.003624278,2.517100584,,,,,,,,,,,,
5.32,2.16,0.03549,0.04693,2.17,-0.002561402,2.535915558,,,,,,,,,,,,
5.33,2.14,0.0372,0.04893,2.17,-0.001635296,2.548337536,,,,,,,,,,,,
5.34,2.11,0.03724,0.05084,2.15,-0.000760234,2.55515726,,,,,,,,,,,,
5.35,2.01,0.03733,0.05647,2.12,0.001990694,2.56539166,,,,,,,,,,,,
5.36,1.94,0.0342,0.06047,2.01,0.004168591,2.578264424,,,,,,,,,,,,
5.37,1.76,0.03168,0.06295,1.95,0.005605701,2.579437638,,,,,,,,,,,,
5.38,1.61,0.03029,0.0682,1.78,0.009279902,2.627845382,,,,,,,,,,,,
5.39,1.55,0.0281,0.07068,1.63,0.011777773,2.66724502,,,,,,,,,,,,
5.4,1.44,0.02716,0.03472,1.56,-0.012663664,2.688212223,,,,,,,,,,,,
5.41,1.41,0.0249,0.03472,1.46,-0.013683082,2.711272654,,,,,,,,,,,,
5.42,0.89,0.02267,0.03472,1.43,-0.01407332,2.703317392,,,,,,,,,,,,
5.43,0.89,0.02161,0.00162,0.9,-0.066148965,3.00395983,,,,,,,,,,,,
5.44,0.89,0.02073,-0.01078,0.9,-0.082178878,2.99468899,,,,,,,,,,,,
5.45,1.52,0.0207,-0.0268,0.9,-0.102856643,2.995024694,,,,,,,,,,,,
5.46,1.51,0.02077,-0.01259,1.52,-0.047247344,2.645772005,,,,,,,,,,,,
5.47,1.46,0.02161,-0.00315,1.51,-0.040873537,2.659781563,,,,,,,,,,,,
5.48,1.35,0.02254,0.01421,1.45,-0.029742786,2.696621165,,,,,,,,,,,,
5.49,1.3,0.0228,0.01946,1.34,-0.028206344,2.751754119,,,,,,,,,,,,
5.5,1.24,0.02348,0.02776,1.3,-0.022213201,2.779372369,,,,,,,,,,,,
5.51,1.2,0.02374,0.04702,1.24,-0.006284976,2.814032269,,,,,,,,,,,,
5.52,1.16,0.02358,0.06744,1.21,0.012204843,2.829404913,,,,,,,,,,,,
5.53,1.09,0.0228,0.1053,1.17,0.048684893,2.844541081,,,,,,,,,,,,
5.54,1.05,0.02031,0.13172,1.1,0.079082651,2.859421325,,,,,,,,,,,,
5.55,0.96,0.01922,0.13506,1.06,0.085928367,2.872262144,,,,,,,,,,,,
5.56,0.89,0.01731,0.13792,0.98,0.097181661,2.902188447,,,,,,,,,,,,
5.57,0.87,0.01673,0.13745,0.91,0.105122846,2.945949925,,,,,,,,,,,,
5.58,0.86,0.01605,0.13316,0.9,0.100860115,2.944819387,,,,,,,,,,,,
5.59,0.89,0.01624,0.12247,0.89,0.088142967,2.955885802,,,,,,,,,,,,
5.6,0.94,0.01718,0.10483,0.92,0.062595601,2.946459897,,,,,,,,,,,,
5.61,1.04,0.01783,0.0847,0.96,0.035448681,2.926348208,,,,,,,,,,,,
5.62,1.13,0.01909,0.04826,1.07,-0.007259479,2.868807232,,,,,,,,,,,,
5.63,1.17,0.02051,0.04578,1.15,-0.009206926,2.837474792,,,,,,,,,,,,
5.64,1.23,0.02141,0.0496,1.18,-0.005423517,2.830861031,,,,,,,,,,,,
5.65,1.24,0.02916,0.05971,1.24,0.003838287,2.872658614,,,,,,,,,,,,
5.66,1.22,0.02836,0.07783,1.25,0.019813455,2.861033615,,,,,,,,,,,,
5.67,1.2,0.0291,0.08804,1.23,0.029322383,2.878852464,,,,,,,,,,,,
5.68,1.15,0.03139,0.11379,1.22,0.053015513,2.903857211,,,,,,,,,,,,
5.69,1.13,0.02926,0.12514,1.17,0.066329482,2.915220992,,,,,,,,,,,,
5.7,1.06,0.027,0.13592,1.15,0.078060763,2.90769737,,,,,,,,,,,,
5.71,1.03,0.0228,0.13831,1.08,0.086203182,2.910082648,,,,,,,,,,,,
5.72,1.01,0.02212,0.13602,1.05,0.08643775,2.922716259,,,,,,,,,,,,
5.73,1.02,0.02241,0.13039,1.03,0.082035704,2.939613367,,,,,,,,,,,,
5.74,1.09,0.02296,0.11684,1.05,0.065508918,2.932886248,,,,,,,,,,,,
5.75,1.14,0.02464,0.08041,1.12,0.0241526,2.906521894,,,,,,,,,,,,
5.76,1.21,0.02571,0.05666,1.16,0.000149386,2.893656161,,,,,,,,,,,,
5.77,1.34,0.02836,0.04435,1.24,-0.011006228,2.873253493,,,,,,,,,,,,
5.78,1.38,0.02952,0.00849,1.36,-0.039097429,2.82191392,,,,,,,,,,,,
5.79,1.51,0.03084,0.00878,1.4,-0.037724924,2.814038763,,,,,,,,,,,,
5.8,1.6,0.03184,-0.00582,1.52,-0.045034307,2.768095414,,,,,,,,,,,,
5.81,1.69,0.0321,0.01526,1.61,-0.028153519,2.732862695,,,,,,,,,,,,
5.82,1.73,0.03236,0.0227,1.69,-0.022016203,2.703695466,,,,,,,,,,,,
5.83,1.63,0.03262,0.03997,1.73,-0.010750519,2.690991325,,,,,,,,,,,,
5.84,1.57,0.03233,0.05036,1.63,-0.004614814,2.728328712,,,,,,,,,,,,
5.85,1.4,0.03107,0.07745,1.58,0.01382076,2.739582377,,,,,,,,,,,,
5.86,1.32,0.02748,0.08441,1.41,0.021012139,2.785385666,,,,,,,,,,,,
5.87,1.17,0.02542,0.09367,1.33,0.030043423,2.806069932,,,,,,,,,,,,
5.88,1.1,0.02351,0.10025,1.18,0.040506049,2.86829474,,,,,,,,,,,,
5.89,0.98,0.02102,0.11303,1.12,0.055769615,2.877844927,,,,,,,,,,,,
5.9,0.94,0.02002,0.11618,1,0.066978049,2.944530337,,,,,,,,,,,,
5.91,0.91,0.01828,0.1094,0.96,0.061937896,2.952289101,,,,,,,,,,,,
5.92,0.91,0.01815,0.09815,0.93,0.050092415,2.973314344,,,,,,,,,,,,
5.93,0.97,0.01818,0.06944,0.94,0.013912918,2.966902,,,,,,,,,,,,
5.94,1.01,0.01851,0.05618,1,-0.002405056,2.928903142,,,,,,,,,,,,
5.95,1.05,0.01902,0.03949,1.02,-0.021227993,2.922176987,,,,,,,,,,,,
5.96,1.07,0.02002,0.04521,1.07,-0.014116587,2.901890279,,,,,,,,,,,,
5.97,1.09,0.02057,0.05341,1.09,-0.005376499,2.896178741,,,,,,,,,,,,
5.98,1.07,0.02138,0.07221,1.09,0.014129551,2.905820147,,,,,,,,,,,,
5.99,1.07,0.02167,0.07821,1.08,0.020504154,2.915898642,,,,,,,,,,,,
6,1.07,0.02251,0.08384,1.09,0.02606763,2.919194227,,,,,,,,,,,,
6.01,1.07,0.02287,0.1033,1.08,0.046771321,2.92988297,,,,,,,,,,,,
6.02,1.07,0.02367,0.10921,1.09,0.05236147,2.93332033,,,,,,,,,,,,
6.03,1.09,0.02377,0.10416,1.09,0.046997538,2.933765117,,,,,,,,,,,,

